Filename;DIVYA.csv
Start Date;2009 01 01 / 03:52:56
Stop Date;2009 01 01 / 04:13:24
Serial Number;1551019J010
Identifier;id210

Setup;
Detector Mode;Internal Gating
Efficiency;10;%
Gate Width;5.00;ns
Trigger Delay;0.00;ns
Dead Time;2.50;us
Frequency;500000;Hz

Counting mode;Frequency
Integration time;0.2;s

Period;Detection;Detection Standard Deviation;Detection Min;Detection Max;Auxiliary1;Auxiliary1 Standard Deviation;Auxiliary1 Min;Auxiliary1 Max;Auxiliary2;Auxiliary2 Standard Deviation;Auxiliary2 Min;Auxiliary2 Max;Auxiliary1&2;Auxiliary1&2 Standard Deviation;Auxiliary1&2 Min;Auxiliary1&2 Max;Gate;Gate Standard Deviation;Gate Min;Gate Max;Clock;Clock Standard Deviation;Clock Min;Clock Max
191;2480;0;2480;2480;0;0;0;0;0;0;0;0;0;0;0;0;497520;0;497520;497520;500000;0;500000;500000
192;2625;0;2625;2625;0;0;0;0;0;0;0;0;0;0;0;0;497375;0;497375;497375;500000;0;500000;500000
193;2485;0;2485;2485;0;0;0;0;0;0;0;0;0;0;0;0;497515;0;497515;497515;500000;0;500000;500000
194;2610;0;2610;2610;0;0;0;0;0;0;0;0;0;0;0;0;497390;0;497390;497390;500000;0;500000;500000
195;2470;0;2470;2470;0;0;0;0;0;0;0;0;0;0;0;0;497535;0;497535;497535;500000;0;500000;500000
196;2625;0;2625;2625;0;0;0;0;0;0;0;0;0;0;0;0;497370;0;497370;497370;500000;0;500000;500000
197;2345;0;2345;2345;0;0;0;0;0;0;0;0;0;0;0;0;497655;0;497655;497655;500000;0;500000;500000
198;2670;0;2670;2670;0;0;0;0;0;0;0;0;0;0;0;0;497330;0;497330;497330;500000;0;500000;500000
199;2570;0;2570;2570;0;0;0;0;0;0;0;0;0;0;0;0;497430;0;497430;497430;500000;0;500000;500000
200;2610;0;2610;2610;0;0;0;0;0;0;0;0;0;0;0;0;497390;0;497390;497390;500000;0;500000;500000
201;2415;0;2415;2415;0;0;0;0;0;0;0;0;0;0;0;0;497585;0;497585;497585;500000;0;500000;500000
202;2535;0;2535;2535;0;0;0;0;0;0;0;0;0;0;0;0;497465;0;497465;497465;500000;0;500000;500000
